id,scientific_name,common_name,taxonomic_group,family,genus,conservation_status,iucn_taxon_id,is_invasive,is_indicator_species,description,image_url
11,Manis crassicaudata,Indian Pangolin,Mammalia,Manidae,Manis,EN,12761,False,True,Heavily trafficked nocturnal burrower maintaining soil aeration.,https://images.unsplash.com/photo-1500003455749?auto=format&fit=crop&w=800&q=80
12,Loris tardigradus,Slender Loris,Mammalia,Lorisidae,Loris,EN,12375,False,True,Nocturnal insectivorous primate of tropical rainforests.,https://images.unsplash.com/photo-1500003769908?auto=format&fit=crop&w=800&q=80
13,Trachypithecus geei,Golden Langur,Mammalia,Cercopithecidae,Trachypithecus,EN,22129,False,True,Restricted-range primate of riparian evergreen river islands.,https://images.unsplash.com/photo-1500004084067?auto=format&fit=crop&w=800&q=80
14,Bubalus arnee,Wild Water Buffalo,Mammalia,Bovidae,Bubalus,EN,3129,False,True,Riparian floodplain ungulate requiring deep marshes.,https://images.unsplash.com/photo-1500004398226?auto=format&fit=crop&w=800&q=80
15,Moschus chrysogaster,Alpine Musk Deer,Mammalia,Moschidae,Moschus,EN,13897,False,True,High-altitude montane specialist targeted for musk pods.,https://images.unsplash.com/photo-1500004712385?auto=format&fit=crop&w=800&q=80
16,Lutra lutra,Eurasian Otter,Mammalia,Mustelidae,Lutra,NT,12419,False,True,Riparian river health indicator requiring clear flowing streams.,https://images.unsplash.com/photo-1500005026544?auto=format&fit=crop&w=800&q=80
17,Prionailurus viverrinus,Fishing Cat,Mammalia,Felidae,Prionailurus,VU,18150,False,True,Wetland-dependent felid vulnerable to coastal marsh drainage.,https://images.unsplash.com/photo-1500005340703?auto=format&fit=crop&w=800&q=80
18,Axis axis,Chital / Spotted Deer,Mammalia,Cervidae,Axis,LC,41783,False,False,Abundant primary forest prey base for apex predators.,https://images.unsplash.com/photo-1500005654862?auto=format&fit=crop&w=800&q=80
19,Sus scrofa,Wild Boar,Mammalia,Suidae,Sus,LC,41775,False,False,Generalist rooting omnivore shaping forest floor soil mechanics.,https://images.unsplash.com/photo-1500005969021?auto=format&fit=crop&w=800&q=80
20,Macaca radiata,Bonnet Macaque,Mammalia,Cercopithecidae,Macaca,LC,12558,False,False,Widespread troop monkey in peninsular forests.,https://images.unsplash.com/photo-1500006283180?auto=format&fit=crop&w=800&q=80
21,Buceros bicornis,Great Hornbill,Aves,Bucerotidae,Buceros,VU,22682453,False,True,Large canopy seed disperser requiring mature cavity nest trees.,https://images.unsplash.com/photo-1500006597339?auto=format&fit=crop&w=800&q=80
22,Gyps bengalensis,White-Rumped Vulture,Aves,Accipitridae,Gyps,CR,22695194,False,True,Critically depleted obligate scavenger preventing carcass disease vectors.,https://images.unsplash.com/photo-1500006911498?auto=format&fit=crop&w=800&q=80
23,Ardea insignis,White-Bellied Heron,Aves,Ardeidae,Ardea,CR,22697089,False,True,Extremely rare undisturbed subtropical riverine heron.,https://images.unsplash.com/photo-1500007225657?auto=format&fit=crop&w=800&q=80
24,Strix aluco,Tawny Owl,Aves,Strigidae,Strix,LC,22689176,False,True,Nocturnal woodland raptor used in passive acoustic monitoring.,https://images.unsplash.com/photo-1500007539816?auto=format&fit=crop&w=800&q=80
25,Pavo cristatus,Indian Peafowl,Aves,Phasianidae,Pavo,LC,22679435,False,False,Prominent ground forager of open deciduous forest edges.,https://images.unsplash.com/photo-1500007853975?auto=format&fit=crop&w=800&q=80
26,Sarcogyps calvus,Red-Headed Vulture,Aves,Accipitridae,Sarcogyps,CR,22695254,False,True,Scavenger vulnerable to veterinary NSAID contamination.,https://images.unsplash.com/photo-1500008168134?auto=format&fit=crop&w=800&q=80
27,Alcedo atthis,Common Kingfisher,Aves,Alcedinidae,Alcedo,LC,22683027,False,True,"Indicator of clear, unpolluted freshwater streams and small fish stocks.",https://images.unsplash.com/photo-1500008482293?auto=format&fit=crop&w=800&q=80
28,Pitta brachyura,Indian Pitta,Aves,Pittidae,Pitta,LC,22698681,False,True,Ground-foraging migratory passerine in dense undergrowth.,https://images.unsplash.com/photo-1500008796452?auto=format&fit=crop&w=800&q=80
29,Bubo bubo,Eurasian Eagle-Owl,Aves,Strigidae,Bubo,LC,22689050,False,True,Apex avian predator of cliff gorges and deep forests.,https://images.unsplash.com/photo-1500009110611?auto=format&fit=crop&w=800&q=80
30,Haliaeetus leucogaster,White-Bellied Sea-Eagle,Aves,Accipitridae,Haliaeetus,LC,22695135,False,True,Coastal and mangrove raptor hunting fish and sea snakes.,https://images.unsplash.com/photo-1500009424770?auto=format&fit=crop&w=800&q=80
31,Ciconia boyciana,Oriental Stork,Aves,Ciconiidae,Ciconia,EN,22697695,False,True,Wetland-dependent wading bird threatened by drainage and pesticide buildup.,https://images.unsplash.com/photo-1500009738929?auto=format&fit=crop&w=800&q=80
32,Eudynamys scolopaceus,Asian Koel,Aves,Cuculidae,Eudynamys,LC,22684043,False,False,Vocal brood parasite widespread in subtropical canopy.,https://images.unsplash.com/photo-1500010053088?auto=format&fit=crop&w=800&q=80
33,Corvus splendens,House Crow,Aves,Corvidae,Corvus,LC,22705938,False,False,Urban-fringe generalist scavenger.,https://images.unsplash.com/photo-1500010367247?auto=format&fit=crop&w=800&q=80
34,Eurystomus orientalis,Dollarbird,Aves,Coraciidae,Eurystomus,LC,22682910,False,True,Aerial insectivore nesting in high hollow dead wood.,https://images.unsplash.com/photo-1500010681406?auto=format&fit=crop&w=800&q=80
35,Psittacula krameri,Rose-Ringed Parakeet,Aves,Psittaculidae,Psittacula,LC,22685441,False,False,Common canopy frugivore forming large roosts.,https://images.unsplash.com/photo-1500010995565?auto=format&fit=crop&w=800&q=80
36,Crocodylus porosus,Saltwater Crocodile,Reptilia,Crocodylidae,Crocodylus,LC,5668,False,False,Largest extant reptile controlling estuarine trophic chains.,https://images.unsplash.com/photo-1500011309724?auto=format&fit=crop&w=800&q=80
37,Gavialis gangeticus,Gharial,Reptilia,Gavialidae,Gavialis,CR,8966,False,True,Specialized fish-eating crocodilian requiring deep sandbar river pools.,https://images.unsplash.com/photo-1500011623883?auto=format&fit=crop&w=800&q=80
38,Ophiophagus hannah,King Cobra,Reptilia,Elapidae,Ophiophagus,VU,14958,False,True,World's longest venomous snake preying exclusively on other serpents.,https://images.unsplash.com/photo-1500011938042?auto=format&fit=crop&w=800&q=80
39,Varanus salvator,Water Monitor,Reptilia,Varanidae,Varanus,LC,17821,False,False,Semi-aquatic scavenger and predator in mangrove estuaries.,https://images.unsplash.com/photo-1500012252201?auto=format&fit=crop&w=800&q=80
40,Python bivittatus,Burmese Python,Reptilia,Pythonidae,Python,VU,193451,False,False,Large constrictor regulating small mammal populations.,https://images.unsplash.com/photo-1500012566360?auto=format&fit=crop&w=800&q=80
41,Nasikabatrachus sahyadrensis,Purple Frog,Amphibia,Nasikabatrachidae,Nasikabatrachus,EN,58479,False,True,Living fossil subterranean frog emerging only during monsoon.,https://images.unsplash.com/photo-1500012880519?auto=format&fit=crop&w=800&q=80
42,Rhacophorus malabaricus,Malabar Gliding Frog,Amphibia,Rhacophoridae,Rhacophorus,LC,58993,False,True,Tree frog using expanded toe webbing for canopy gliding.,https://images.unsplash.com/photo-1500013194678?auto=format&fit=crop&w=800&q=80
43,Duttaphrynus melanostictus,Asian Common Toad,Amphibia,Bufonidae,Duttaphrynus,LC,54707,False,False,Resilient nocturnal terrestrial amphibian.,https://images.unsplash.com/photo-1500013508837?auto=format&fit=crop&w=800&q=80
44,Indirana beddomii,Beddome's Leaping Frog,Amphibia,Ranixalidae,Indirana,LC,58309,False,True,Endemic forest floor frog inhabiting moist leaf litter.,https://images.unsplash.com/photo-1500013822996?auto=format&fit=crop&w=800&q=80
45,Naja naja,Spectacled Cobra,Reptilia,Elapidae,Naja,LC,62238,False,False,Medically significant elapid snake in agricultural-forest mosaics.,https://images.unsplash.com/photo-1500014137155?auto=format&fit=crop&w=800&q=80
46,Bungarus caeruleus,Common Krait,Reptilia,Elapidae,Bungarus,LC,172703,False,False,Nocturnal venomous snake feeding on rodents and other reptiles.,https://images.unsplash.com/photo-1500014451314?auto=format&fit=crop&w=800&q=80
47,Melanochelys trijuga,Indian Black Turtle,Reptilia,Geoemydidae,Melanochelys,NT,13039,False,False,Freshwater marsh and pond scavenger.,https://images.unsplash.com/photo-1500014765473?auto=format&fit=crop&w=800&q=80
48,Tor putitora,Golden Mahseer,Actinopterygii,Cyprinidae,Tor,EN,1263198,False,True,"Flagship sportfish indicating cold, pristine Himalayan torrent rivers.",https://images.unsplash.com/photo-1500015079632?auto=format&fit=crop&w=800&q=80
49,Channa marulius,Great Snakehead,Actinopterygii,Channidae,Channa,LC,166545,False,False,Apex wetland predatory fish adapted to low-oxygen waters.,https://images.unsplash.com/photo-1500015393791?auto=format&fit=crop&w=800&q=80
50,Tenualosa ilisha,Hilsa Shad,Actinopterygii,Clupeidae,Tenualosa,LC,166442,False,True,Anadromous fish migrating upstream through estuarine channels to spawn.,https://images.unsplash.com/photo-1500015707950?auto=format&fit=crop&w=800&q=80
51,Wallago attu,Helicopter Catfish,Actinopterygii,Siluridae,Wallago,VU,166523,False,True,Large predatory catfish vulnerable to overfishing and dams.,https://images.unsplash.com/photo-1500016022109?auto=format&fit=crop&w=800&q=80
52,Horabagrus brachysoma,Sun Catfish,Actinopterygii,Horabagridae,Horabagrus,VU,172312,False,True,Western Ghats endemic river catfish sensitive to sand mining.,https://images.unsplash.com/photo-1500016336268?auto=format&fit=crop&w=800&q=80
53,Dawkinsia denisonii,Denison Barb / Miss Kerala,Actinopterygii,Cyprinidae,Dawkinsia,EN,169629,False,True,High-value endemic ornamental fish found only in fast streams.,https://images.unsplash.com/photo-1500016650427?auto=format&fit=crop&w=800&q=80
54,Oreochromis niloticus,Nile Tilapia,Actinopterygii,Cichlidae,Oreochromis,LC,NA,True,False,Invasive cichlid outcompeting indigenous freshwater fish species.,https://images.unsplash.com/photo-1500016964586?auto=format&fit=crop&w=800&q=80
55,Hypophthalmichthys nobilis,Bighead Carp,Actinopterygii,Cyprinidae,Hypophthalmichthys,LC,NA,True,False,Invasive filter feeder altering lake and wetland plankton dynamics.,https://images.unsplash.com/photo-1500017278745?auto=format&fit=crop&w=800&q=80
56,Lantana camara,Lantana Weed,Plantae,Verbenaceae,Lantana,LC,NA,True,False,Highly aggressive invasive shrub smothering native understory.,https://images.unsplash.com/photo-1500017592904?auto=format&fit=crop&w=800&q=80
57,Eichhornia crassipes,Water Hyacinth,Plantae,Pontederiaceae,Eichhornia,LC,NA,True,False,Invasive floating aquatic weed causing eutrophication and oxygen crashes.,https://images.unsplash.com/photo-1500017907063?auto=format&fit=crop&w=800&q=80
58,Avicennia marina,Grey Mangrove,Plantae,Acanthaceae,Avicennia,LC,178828,False,True,Pioneer mangrove species stabilizing intertidal mudflats.,https://images.unsplash.com/photo-1500018221222?auto=format&fit=crop&w=800&q=80
59,Rhizophora mangle,Red Mangrove,Plantae,Rhizophoraceae,Rhizophora,LC,178850,False,True,Key stilt-rooted mangrove protecting coastlines from cyclone storm surges.,https://images.unsplash.com/photo-1500018535381?auto=format&fit=crop&w=800&q=80
60,Ficus benghalensis,Banyan Tree,Plantae,Moraceae,Ficus,LC,NA,False,True,Keystone strangler fig providing year-round fruit for canopy frugivores.,https://images.unsplash.com/photo-1500018849540?auto=format&fit=crop&w=800&q=80
61,Prosopis juliflora,Mesquite Shrub,Plantae,Fabaceae,Prosopis,LC,NA,True,False,Invasive thorny tree depleting groundwater tables in arid and riparian zones.,https://images.unsplash.com/photo-1500019163699?auto=format&fit=crop&w=800&q=80
62,Troides minos,Southern Birdwing,Insecta,Papilionidae,Troides,LC,12489,False,True,India's second largest butterfly; indicator of undisturbed rainforest canopy.,https://images.unsplash.com/photo-1500019477858?auto=format&fit=crop&w=800&q=80
63,Apis dorsata,Giant Honeybee,Insecta,Apidae,Apis,LC,NA,False,True,Primary wild forest pollinator sustaining canopy tree reproduction.,https://images.unsplash.com/photo-1500019792017?auto=format&fit=crop&w=800&q=80
64,Atta cephalotes,Leafcutter Ant,Insecta,Formicidae,Atta,LC,NA,False,False,Dominant forest floor biomass turnover agent.,https://images.unsplash.com/photo-1500020106176?auto=format&fit=crop&w=800&q=80
65,Anopheles stephensi,Malaria Vector Mosquito,Insecta,Culicidae,Anopheles,LC,NA,False,False,Urban and forest-edge dipteran vector monitored for zoonotic risks.,https://images.unsplash.com/photo-1500020420335?auto=format&fit=crop&w=800&q=80
